Maioria,EX,Soft_F1,Stats,Similarity,VES,QAS,EM,CM,StCo,LFA,LeCo,SkCo,PCMF1
1,1,1.000,1.000,1.000,1.000,0.903,0.000,0.833,0.000,0.000,0.806,1.000,0.889
1,1,1.000,1.000,1.000,0.970,0.940,1.000,1.000,1.000,1.000,0.880,1.000,1.000
1,1,1.000,1.000,1.000,1.000,0.868,0.000,0.833,0.000,0.000,0.737,1.000,0.889
0,0,0.000,0.000,0.362,0.000,0.408,0.000,0.542,0.000,0.000,0.454,0.000,0.617
1,1,1.000,1.000,1.000,0.731,0.861,0.000,0.750,0.000,0.000,0.722,0.000,0.750
0,0,0.000,0.000,0.362,0.000,0.428,0.000,0.575,0.000,0.000,0.495,0.000,0.639
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.188,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.188,0.000,0.000
1,1,1.000,1.000,1.000,0.927,0.816,0.000,0.625,0.000,0.000,0.632,0.000,0.667
1,1,1.000,1.000,1.000,1.000,0.856,0.000,0.900,0.000,0.000,0.713,1.000,0.938
1,1,1.000,1.000,1.000,1.000,0.885,0.000,0.900,0.000,0.000,0.771,1.000,0.938
1,1,1.000,1.000,1.000,1.000,0.884,0.000,0.900,0.000,0.000,0.768,1.000,0.938
1,0,0.990,0.000,0.986,0.000,0.767,0.000,0.800,0.000,0.000,0.548,1.000,0.857
1,1,1.000,1.000,1.000,1.000,0.848,0.000,0.833,0.000,0.000,0.697,1.000,0.889
0,0,0.000,0.000,0.008,0.000,0.186,0.000,0.542,0.000,0.000,0.365,0.000,0.655
1,1,0.999,1.000,1.000,0.839,0.894,0.000,0.813,0.000,0.000,0.787,1.000,0.850
1,1,0.999,1.000,1.000,0.828,0.936,0.000,0.833,0.000,0.000,0.872,1.000,0.875
0,0,0.100,0.000,0.277,0.000,0.433,1.000,1.000,0.000,0.000,0.589,1.000,1.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.201,0.000,0.000
0,0,0.333,0.000,0.500,0.000,0.589,0.000,0.875,0.000,0.000,0.677,1.000,0.917
0,0,0.000,0.000,0.333,0.000,0.518,0.000,0.875,0.000,0.000,0.703,1.000,0.917
1,0,0.950,0.000,0.311,0.000,0.483,0.000,0.625,0.000,0.000,0.655,1.000,0.667
1,0,0.950,0.000,0.311,0.000,0.540,1.000,1.000,0.000,0.000,0.768,1.000,1.000
1,1,1.000,1.000,1.000,1.000,0.755,0.000,0.475,0.000,0.000,0.510,0.000,0.560
1,1,1.000,1.000,1.000,0.991,0.856,0.000,0.833,0.000,0.000,0.713,0.000,0.889
1,1,1.000,1.000,1.000,0.929,0.974,1.000,1.000,0.000,0.000,0.949,1.000,1.000
1,1,1.000,1.000,1.000,0.936,0.856,0.000,0.833,0.000,0.000,0.713,0.000,0.889
0,0,0.000,0.000,0.173,0.000,0.335,0.000,0.556,0.000,0.000,0.496,1.000,0.692
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.173,0.000,0.000
0,0,0.000,0.000,0.111,0.000,0.298,0.000,0.458,0.000,0.000,0.486,0.000,0.612
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.194,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.194,0.000,0.000
0,0,0.000,0.000,0.333,0.000,0.457,0.000,0.667,0.000,0.000,0.581,0.000,0.783
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.169,0.000,0.000
1,1,1.000,1.000,1.000,0.869,0.863,1.000,1.000,0.000,0.000,0.727,1.000,1.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.169,0.000,0.000
0,0,0.000,0.000,0.333,0.000,0.469,0.000,0.875,0.000,0.000,0.605,1.000,0.917
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.183,0.000,0.000
0,0,0.000,0.000,0.333,0.000,0.408,0.000,0.679,0.000,0.000,0.483,0.000,0.792
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.536,0.000,0.000,0.295,0.000,0.654
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.725,0.000,0.000,0.379,0.000,0.810
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.739,0.000,0.000,0.262,0.000,0.821
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.372,0.000,0.000
1,0,0.850,1.000,0.921,0.000,0.788,0.000,0.762,0.000,0.000,0.655,0.000,0.833
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.379,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.621,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.512,1.000,0.000
1,1,1.000,1.000,0.000,1.000,0.672,0.000,0.486,0.000,0.000,0.344,0.000,0.624
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.608,0.000,0.000,0.375,0.000,0.729
1,1,1.000,1.000,0.000,1.000,0.655,0.000,0.522,0.000,0.000,0.310,0.000,0.672
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.382,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.081,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.081,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.146,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.370,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.146,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.095,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.095,0.000,0.000
1,0,0.000,1.000,0.000,0.000,0.232,0.000,0.637,0.000,0.000,0.465,0.000,0.750
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.278,0.000,0.000
1,0,0.000,1.000,0.000,0.000,0.267,0.000,0.637,0.000,0.000,0.534,0.000,0.750
0,0,0.000,0.000,0.000,0.000,0.143,0.000,0.560,0.000,0.000,0.287,0.000,0.663
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.534,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.128,0.000,0.000
1,1,1.000,1.000,1.000,0.910,0.911,0.000,0.833,0.000,0.000,0.823,1.000,0.889
1,1,1.000,1.000,1.000,1.000,0.912,0.000,0.833,0.000,0.000,0.825,1.000,0.889
1,1,1.000,1.000,1.000,1.000,0.897,0.000,0.833,0.000,0.000,0.794,1.000,0.889
1,1,1.000,1.000,1.000,0.924,0.951,1.000,1.000,1.000,1.000,0.902,1.000,1.000
1,1,1.000,1.000,1.000,1.000,0.887,0.000,0.833,0.000,0.000,0.775,1.000,0.889
1,1,1.000,1.000,1.000,0.955,0.868,0.000,0.833,0.000,0.000,0.737,1.000,0.889
1,0,0.000,0.000,0.524,0.000,0.463,0.000,0.542,0.000,0.000,0.401,0.000,0.617
1,1,1.000,1.000,1.000,0.652,0.827,0.000,0.750,0.000,0.000,0.653,0.000,0.750
1,1,1.000,1.000,1.000,0.716,0.824,0.000,0.750,0.000,0.000,0.648,0.000,0.750
1,1,1.000,1.000,1.000,0.673,0.855,0.000,0.750,0.000,0.000,0.709,0.000,0.750
0,0,0.000,0.000,0.362,0.000,0.421,0.000,0.542,0.000,0.000,0.480,0.000,0.617
0,0,0.000,0.000,0.362,0.000,0.448,0.000,0.607,0.000,0.000,0.534,0.000,0.733
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.188,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.188,0.000,0.000
1,1,1.000,1.000,1.000,0.760,0.796,0.000,0.750,0.000,0.000,0.591,0.000,0.833
0,0,0.000,0.000,0.200,0.000,0.297,0.000,0.875,0.000,0.000,0.394,0.000,0.917
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.188,0.000,0.000
1,1,1.000,1.000,1.000,1.000,0.869,1.000,1.000,0.000,0.000,0.739,1.000,1.000
1,1,1.000,1.000,1.000,1.000,0.890,1.000,1.000,0.000,0.000,0.781,1.000,1.000
1,1,1.000,1.000,1.000,1.000,0.944,1.000,1.000,0.000,0.000,0.889,1.000,1.000
1,1,1.000,1.000,1.000,1.000,0.893,0.000,0.900,0.000,0.000,0.787,1.000,0.938
1,0,0.990,0.000,0.986,0.000,0.805,0.000,0.800,0.000,0.000,0.623,1.000,0.857
1,0,0.990,0.000,0.986,0.000,0.760,0.000,0.800,0.000,0.000,0.535,1.000,0.857
1,1,1.000,1.000,1.000,1.000,0.852,0.000,0.833,0.000,0.000,0.704,1.000,0.889
1,1,1.000,1.000,1.000,0.928,0.862,0.000,0.833,0.000,0.000,0.725,1.000,0.889
1,0,0.000,0.000,0.225,0.000,0.402,0.000,0.800,0.000,0.000,0.579,1.000,0.857
1,0,0.000,0.000,0.225,0.000,0.414,0.000,0.800,0.000,0.000,0.604,1.000,0.857
1,1,0.999,1.000,1.000,0.947,0.810,0.000,0.813,0.000,0.000,0.620,1.000,0.850
0,0,0.000,0.000,0.008,0.000,0.278,0.000,0.600,0.000,0.000,0.549,0.000,0.726
1,1,0.999,1.000,1.000,0.802,0.938,0.000,0.833,0.000,0.000,0.875,1.000,0.875
